reactions	deltaG
GlycP	-7.51
GPM	-7.14
PGI	-7.14
PPiPFK	-7.14
FBPald	-7.14
TPI	-7.14
GAPDH	-7.14
PGK	-7.14
TktA	-7.14
SBPald	-7.14
SBPase	-8.01
TktB	-7.3
RibE	-7.14
RibI	-7.3
RbuK	-16.16
RbuCO	-19.7
PGM	-7.14
ENO	-7.14
PYK	-20.12
PDH	-33.59
ACS	-7.14
PPiase	-47.62
Thio	-7.14
AAR	-7.14
