metabolite,Reconciled_mean,Reconciled_standard_deviations
acetate,-1.4371574473026905,0.004330319481886692
glycogen,-0.21489910196872497,0.002412309317012867
HB,0.870261063751004,0.0025828695850843636
HV,0.041255786281757176,9.88031898590237e-06
CO2,0.4763863432965047,0.0012918836457978715
