Dataset,Slope,Error
acetate,-1.437393165991728,0.004335194633827759
phosphate,0.5212879753149184,0.08920319719624478
glycogen,-0.24963355321131325,0.030383060054784465
HB,0.8699940260642978,0.002588126567357329
HV,0.04125578033485955,9.88031950571869e-06
